original_id,value,unit,year,metric_type,context_preview,reason,confidence,proposed_action,kept_record_id
889,252.3,billions_usd,2025,investment,nan,Passed all validation checks,0.85,KEEP,
890,0.01,unknown,2025,carbon_emissions,nan,Passed all validation checks,0.85,KEEP,
5497,252.3,billions_usd,2025,investment,nan,Duplicate record (keeping first occurrence),0.9,REMOVE,889.0
5498,0.01,unknown,2025,carbon_emissions,nan,Duplicate record (keeping first occurrence),0.9,REMOVE,890.0
5499,18.7,percentage,2023,investment,attracting $33.9 billion globally in private investment—an 18.7% increase from 2023. ai business usa...,Passed all validation checks,0.85,KEEP,
5500,78.0,percentage,2023,adoption_rate,increase from 2023. ai business usage is also accelerating: 78% of organizations reported using ai i...,Passed all validation checks,0.85,KEEP,
5501,55.0,percentage,2024,adoption_rate,"g: 78% of organizations reported using ai in 2024, up from 55% the year before. meanwhile, a growing...",Passed all validation checks,0.85,KEEP,
5502,83.0,percentage,2025,percentages,"—but deep regional divides remain. in countries like china (83%), indonesia (80%), and thailand (77%...",Passed all validation checks,0.85,KEEP,
5503,80.0,percentage,2025,percentages,"l divides remain. in countries like china (83%), indonesia (80%), and thailand (77%), strong majorit...",Passed all validation checks,0.85,KEEP,
5504,77.0,percentage,2025,percentages,"countries like china (83%), indonesia (80%), and thailand (77%), strong majorities see ai products a...",Passed all validation checks,0.85,KEEP,
5505,40.0,percentage,2025,percentages,"ontrast, optimism remains far lower in places like canada (40%), the united states (39%), and the ne...",Passed all validation checks,0.85,KEEP,
5506,39.0,percentage,2025,percentages,"far lower in places like canada (40%), the united states (39%), and the netherlands (36%). still, se...",Passed all validation checks,0.85,KEEP,
5507,36.0,percentage,2022,percentages,"canada (40%), the united states (39%), and the netherlands (36%). still, sentiment is shifting: sinc...",Passed all validation checks,0.85,KEEP,
5508,10.0,percentage,2025,percentages,"several previously skeptical countries, including germany (+10%), france (+10%), canada (+8%), great...",Passed all validation checks,0.85,KEEP,
5509,10.0,percentage,2025,percentages,"sly skeptical countries, including germany (+10%), france (+10%), canada (+8%), great britain (+8%),...",Duplicate record (keeping first occurrence),0.9,REMOVE,5508.0
5510,8.0,percentage,2025,percentages,"untries, including germany (+10%), france (+10%), canada (+8%), great britain (+8%), and the united ...",Passed all validation checks,0.85,KEEP,
5511,8.0,percentage,2025,percentages,"rmany (+10%), france (+10%), canada (+8%), great britain (+8%), and the united states (+4%). 7. ai b...",Duplicate record (keeping first occurrence),0.9,REMOVE,5510.0
5512,4.0,percentage,2025,percentages,"canada (+8%), great britain (+8%), and the united states (+4%). 7. ai becomes more efficient, afford...",Passed all validation checks,0.85,KEEP,
5513,30.0,percentage,2024,cost,"ctober 2024. at the hardware level, costs have declined by 30% annually, while energy efficiency has...",Passed all validation checks,0.85,KEEP,
5514,40.0,percentage,2025,productivity,"ed by 30% annually, while energy efficiency has improved by 40% each year. open-weight models are cl...",Duplicate record (keeping first occurrence),0.9,REMOVE,5505.0
5515,8.0,percentage,2025,percentages,"ith closed models, reducing the performance difference from 8% to just 1.7% on some benchmarks in a ...",Duplicate record (keeping first occurrence),0.9,REMOVE,5510.0
5516,1.7,percentage,2025,percentages,"models, reducing the performance difference from 8% to just 1.7% on some benchmarks in a single year...",Passed all validation checks,0.85,KEEP,
5517,21.3,percentage,2023,growth_rate,"s many agencies. globally, legislative mentions of ai rose 21.3% across 75 countries since 2023, mar...",Passed all validation checks,0.85,KEEP,
5518,22.0,percentage,2025,growth_rate,raduates with bachelor’s degrees in computing has increased 22% over the last 10 years. yet access r...,Passed all validation checks,0.85,KEEP,
5519,81.0,percentage,2025,percentages,"to basic infrastructure gaps like electricity. in the u.s., 81% of k–12 cs teachers say ai should be...",Passed all validation checks,0.85,KEEP,
5520,90.0,percentage,2024,percentages,s racing ahead in ai—but the frontier is tightening. nearly 90% of notable ai models in 2024 came fr...,Passed all validation checks,0.85,KEEP,
5521,60.0,percentage,2024,percentages,"% of notable ai models in 2024 came from industry, up from 60% in 2023, while academia remains the t...",Passed all validation checks,0.85,KEEP,
5522,11.9,percentage,2025,percentages,"difference between the top and 10th-ranked models fell from 11.9% to 5.4% in a year, and the top two...",Passed all validation checks,0.85,KEEP,
5523,5.4,percentage,2025,percentages,"e between the top and 10th-ranked models fell from 11.9% to 5.4% in a year, and the top two are now ...",Passed all validation checks,0.85,KEEP,
5524,0.7,percentage,2025,percentages,"5.4% in a year, and the top two are now separated by just 0.7%. the frontier is increasingly competi...",Passed all validation checks,0.85,KEEP,
5525,90.0,percentage,2024,percentages,"index reports, has only grown more pronounced, with nearly 90% of notable models in 2024 (compared t...",Duplicate record (keeping first occurrence),0.9,REMOVE,5520.0
5526,60.0,percentage,2024,percentages,"ced, with nearly 90% of notable models in 2024 (compared to 60% in 2023) originating from industry. ...",Duplicate record (keeping first occurrence),0.9,REMOVE,5521.0
5527,23.2,percentage,2023,percentages,"al research. in 2023, china produced more ai publications (23.2%) and citations (22.6%) than any oth...",Passed all validation checks,0.85,KEEP,
5528,22.6,percentage,2025,percentages,china produced more ai publications (23.2%) and citations (22.6%) than any other country. over the p...,Passed all validation checks,0.85,KEEP,
5529,21.6,percentage,2013,percentages,ai’s share of computer science publications has risen from 21.6% in 2013 to 41.8% in 2023. 4. the un...,Passed all validation checks,0.85,KEEP,
5530,41.8,percentage,2013,percentages,puter science publications has risen from 21.6% in 2013 to 41.8% in 2023. 4. the united states conti...,Passed all validation checks,0.85,KEEP,
5531,29.6,percentage,2023,percentages,". in just the last year, the number of ai patents has risen 29.6%. as of 2023, china leads in total ...",Passed all validation checks,0.85,KEEP,
5532,69.7,percentage,2023,percentages,"s of 2023, china leads in total ai patents, accounting for 69.7% of all grants, while south korea an...",Passed all validation checks,0.85,KEEP,
5533,43.0,percentage,2025,percentages,"ce, measured in 16-bit floating-point operations, has grown 43% annually, doubling every 1.9 years. ...",Passed all validation checks,0.85,KEEP,
5534,30.0,percentage,2025,cost,"years. price performance has improved, with costs dropping 30% per year, while energy efficiency has...",Passed all validation checks,0.85,KEEP,
5535,40.0,percentage,2025,productivity,"ping 30% per year, while energy efficiency has increased by 40% annually. 9. carbon emissions from a...",Duplicate record (keeping first occurrence),0.9,REMOVE,5505.0
5536,4.4,percentage,2023,percentages,"qa, respectively. on swe-bench, ai systems could solve just 4.4% of coding problems in 2023—a figure...",Passed all validation checks,0.85,KEEP,
5537,71.7,percentage,2023,percentages,st 4.4% of coding problems in 2023—a figure that jumped to 71.7% in 2024. 2. open-weight models catc...,Passed all validation checks,0.85,KEEP,
5538,8.0,percentage,2025,percentages,sed- weight model outperformed the top open-weight model by 8.0% on the chatbot arena leaderboard. b...,Duplicate record (keeping first occurrence),0.9,REMOVE,5510.0
5539,1.7,percentage,2025,percentages,"na leaderboard. by february 2025, this gap had narrowed to 1.7%. chapter 1: research and development...",Duplicate record (keeping first occurrence),0.9,REMOVE,5516.0
5540,11.9,percentage,2025,percentages,"and 10th-ranked model on the chatbot arena leaderboard was 11.9%. by early 2025, this gap had narrow...",Duplicate record (keeping first occurrence),0.9,REMOVE,5522.0
5541,5.4,percentage,2025,percentages,"erboard was 11.9%. by early 2025, this gap had narrowed to 5.4%. likewise, the difference between th...",Duplicate record (keeping first occurrence),0.9,REMOVE,5523.0
5542,4.9,percentage,2023,percentages,"wise, the difference between the top two models shrank from 4.9% in 2023 to just 0.7% in 2024. the a...",Passed all validation checks,0.85,KEEP,
5543,0.7,percentage,2023,percentages,between the top two models shrank from 4.9% in 2023 to just 0.7% in 2024. the ai landscape is becomi...,Passed all validation checks,0.85,KEEP,
5544,74.4,percentage,2025,percentages,"approach dramatically improved performance, with o1 scoring 74.4% on an international mathematical o...",Passed all validation checks,0.85,KEEP,
5545,9.3,percentage,2025,cost,"athematical olympiad qualifying exam, compared to gpt-4o’s 9.3%. however, this enhanced reasoning co...",Passed all validation checks,0.85,KEEP,
5546,8.8,percentage,2025,percentages,", a rigorous academic test where the top system scores just 8.80%; frontiermath, a complex mathemati...",Passed all validation checks,0.85,KEEP,
5547,2.0,percentage,2025,percentages,"complex mathematics benchmark where ai systems solve only 2% of problems; and bigcodebench, a coding...",Passed all validation checks,0.85,KEEP,
5548,35.5,percentage,2025,percentages,"igcodebench, a coding benchmark where ai systems achieve a 35.5% success rate—well below the human s...",Passed all validation checks,0.85,KEEP,
5549,97.0,percentage,2025,percentages,ieve a 35.5% success rate—well below the human standard of 97%. 7. high-quality ai video generators ...,Passed all validation checks,0.85,KEEP,
5550,60.0,percentage,2022,percentages,"in 2022, the smallest model registering a score higher than 60% on mmlu was palm, with 540 billion p...",Passed all validation checks,0.85,KEEP,
5551,56.4,percentage,2024,growth_rate,i-related incidents rose to 233 in 2024—a record high and a 56.4% increase over 2023. chapter 2: tec...,Passed all validation checks,0.85,KEEP,
5552,64.0,percentage,2025,percentages,"e, and cybersecurity were top of mind for leaders with only 64%, 63%, and 60% of respondents, respec...",Passed all validation checks,0.85,KEEP,
5553,63.0,percentage,2025,percentages,"d cybersecurity were top of mind for leaders with only 64%, 63%, and 60% of respondents, respectivel...",Passed all validation checks,0.85,KEEP,
5554,60.0,percentage,2025,percentages,"curity were top of mind for leaders with only 64%, 63%, and 60% of respondents, respectively, citing...",Passed all validation checks,0.85,KEEP,
5555,7.0,percentage,2025,percentages,"dataset, the proportion of restricted tokens jumped from 5–7% to 20–33%. this decline has consequenc...",Passed all validation checks,0.85,KEEP,
5556,33.0,percentage,2025,percentages,the proportion of restricted tokens jumped from 5–7% to 20–33%. this decline has consequences for da...,Passed all validation checks,0.85,KEEP,
5557,37.0,percentage,2023,growth_rate,nsparency score among major model developers increased from 37% in october 2023 to 58% in may 2024. ...,Passed all validation checks,0.85,KEEP,
5558,58.0,percentage,2023,growth_rate,ajor model developers increased from 37% in october 2023 to 58% in may 2024. while these gains are p...,Passed all validation checks,0.85,KEEP,
5559,28.8,percentage,2023,growth_rate,"rai papers accepted at leading ai conferences increased by 28.8%, from 992 in 2023 to 1,278 in 2024,...",Passed all validation checks,0.85,KEEP,
5560,26.0,percentage,2025,investment,ights 1. global private ai investment hits record high with 26% growth. corporate ai investment reac...,Passed all validation checks,0.85,KEEP,
5561,44.5,percentage,2024,investment,"d $252.3 billion in 2024, with private investment climbing 44.5% and mergers and acquisitions up 12....",Passed all validation checks,0.85,KEEP,
5562,12.1,percentage,2025,investment,e investment climbing 44.5% and mergers and acquisitions up 12.1% from the previous year. the sector...,Passed all validation checks,0.85,KEEP,
5563,18.7,percentage,2024,percentages,"vestment in generative ai reached $33.9 billion in 2024, up 18.7% from 2023 and over 8.5 times highe...",Passed all validation checks,0.85,KEEP,
5564,20.0,percentage,2022,investment,igher than 2022 levels. the sector now represents more than 20% of all ai-related private investment...,Passed all validation checks,0.85,KEEP,
5565,78.0,percentage,2023,percentages,"pondents reporting ai use by their organizations jumped to 78% from 55% in 2023. similarly, the numb...",Duplicate record (keeping first occurrence),0.9,REMOVE,5500.0
5566,55.0,percentage,2023,percentages,"reporting ai use by their organizations jumped to 78% from 55% in 2023. similarly, the number of res...",Passed all validation checks,0.85,KEEP,
5567,33.0,percentage,2023,percentages,i in at least one business function more than doubled—from 33% in 2023 to 71% last year. chapter 4: ...,Passed all validation checks,0.85,KEEP,
5568,71.0,percentage,2023,percentages,one business function more than doubled—from 33% in 2023 to 71% last year. chapter 4: economy artifi...,Passed all validation checks,0.85,KEEP,
5569,49.0,percentage,2025,percentages,ess function estimate the benefits as being at low levels. 49% of respondents whose organizations us...,Passed all validation checks,0.85,KEEP,
5570,43.0,percentage,2025,cost,"report cost savings, followed by supply chain management (43%) and software engineering (41%), but m...",Duplicate record (keeping first occurrence),0.9,REMOVE,5533.0
5571,41.0,percentage,2025,cost,"by supply chain management (43%) and software engineering (41%), but most of them report cost saving...",Passed all validation checks,0.85,KEEP,
5572,10.0,percentage,2025,adoption_rate,"ng (41%), but most of them report cost savings of less than 10%. with regard to revenue, 71% of resp...",Duplicate record (keeping first occurrence),0.9,REMOVE,5508.0
5573,71.0,percentage,2025,adoption_rate,"ort cost savings of less than 10%. with regard to revenue, 71% of respondents using ai in marketing ...",Passed all validation checks,0.85,KEEP,
5574,63.0,percentage,2025,adoption_rate,"dents using ai in marketing and sales report revenue gains, 63% in supply chain management, and 57% ...",Duplicate record (keeping first occurrence),0.9,REMOVE,5553.0
5575,57.0,percentage,2025,revenue,"report revenue gains, 63% in supply chain management, and 57% in service operations, but the most co...",Passed all validation checks,0.85,KEEP,
5576,5.0,percentage,2025,revenue,but the most common level of revenue increases is less than 5%. 6. use of ai shows dramatic shifts b...,Passed all validation checks,0.85,KEEP,
