original_id,value,unit,year,metric_type,context_preview,reason,confidence
185,103.0,billions_usd,2024,cost_metric,equivalent of 27 years of gpu compute time at an estimated cost of $103k-$350k (at cloud-compute mar...,Duplicate record (keeping first occurrence),0.9
1637,10.1007,percentage,2024,general_rate,"artificial systems,” https://link.springer.com/content/ pdf/10.1007%2f978-3-642-32375-1.pdf, page 17...",Duplicate record (keeping first occurrence),0.9
1638,2.0,percentage,2024,general_rate,ational-artifical-intelligence-strategies-and-human-rights%e2%80%94a-review_.pdf 164 steven feldstei...,Duplicate record (keeping first occurrence),0.9
1639,80.0,percentage,2024,general_rate,"ional-artifical-intelligence-strategies-and-human-rights%e2%80%94a-review_.pdf 164 steven feldstein,...",Duplicate record (keeping first occurrence),0.9
1640,30.0,percentage,2016,general_rate,mine if another car is in your blindspot were available in 30% of new cars in 2016 but are in 90% to...,Duplicate record (keeping first occurrence),0.9
1641,90.0,percentage,2016,general_rate,dspot were available in 30% of new cars in 2016 but are in 90% today. page 20 “semi-autonomous appro...,Duplicate record (keeping first occurrence),0.9
1642,1.5,billions_usd,2024,financial_metric,lassified r&d in ai-related technologies was approximately $1.5 billion153—a number dwarfed signific...,Duplicate record (keeping first occurrence),0.9
1643,9.4,billions_usd,2018,financial_metric,"development in 2018 was estimated to be the equivalent of $9.4 billion, supplemented by significant ...",Duplicate record (keeping first occurrence),0.9
1644,80.0,billions_usd,2024,financial_metric,"209570/atlas-ai 44 us, private enterprises have spent over $80 billion on ai, while non-defense inve...",Duplicate record (keeping first occurrence),0.9
1645,103.0,billions_usd,2024,financial_metric,t of 27 years of gpu compute time at an estimated cost of $103k-$350k (at cloud-compute market price...,Duplicate record (keeping first occurrence),0.9
1646,350.0,billions_usd,2024,financial_metric,27 years of gpu compute time at an estimated cost of $103k-$350k (at cloud-compute market prices at ...,Duplicate record (keeping first occurrence),0.9
1647,5.0,billions_usd,2021,financial_metric,"emics at carnegie mellon, which went public in 2021 with a $5 billion valuation.193 of course, not a...",Duplicate record (keeping first occurrence),0.9
1648,1.0,billions_usd,2024,financial_metric,"olling for medical needs, care for black patients averages $1,800 less per year. new technologies ar...",Duplicate record (keeping first occurrence),0.9
1649,68.0,billions_usd,2020,financial_metric,"e of total postings. global corporate investment in ai was $68 billion in 2020, which is a non-trivi...",Duplicate record (keeping first occurrence),0.9
1650,4.0,billions_usd,2020,financial_metric,investment over all categories in the us alone was almost $4 trillion in 2020.260 it’s not always ea...,Duplicate record (keeping first occurrence),0.9
1651,800.0,billions_usd,2024,cost_metric,"a noted that researchers 
trained nearly 4,800 models using the equivalent of 
27 years of gpu com...",Duplicate record (keeping first occurrence),0.9
1652,103.0,billions_usd,2024,cost_metric,equivalent of 27 years of gpu compute time at an estimated cost of $103k-$350k (at cloud-compute mar...,Duplicate record (keeping first occurrence),0.9
1653,60.0,billions_usd,2024,employment_metric,"ly see technologically-driven mass unemployment. even if 60 jobs remain plentiful, the automation-re...",Duplicate record (keeping first occurrence),0.9
1654,272.0,number,2024,employment_metric,/www.nber.org/digest/jul18/automation-can-be-response-aging-workforce 272 https://www.scientificamer...,Duplicate record (keeping first occurrence),0.9
1655,2021.0,number,2021,unknown_metric,"very five years, for at least one hundred years. september 2021 this report, the second in that plan...",Duplicate record (keeping first occurrence),0.9
1656,2018.0,energy_unit,2018,unknown_metric,"cation,” proceedings of machine learning research 81:1–15, 2018, http://proceedings.mlr.press/v81/bu...",Duplicate record (keeping first occurrence),0.9
1657,2020.0,percentage,2020,unknown_metric,"from medical misinformation to undermining elections. in 2020, approximately 48.3 percent of the glo...",Duplicate record (keeping first occurrence),0.9
1658,263.0,billions_usd,2024,revenue_metric,"262 that situation would parallel developments 
over recent decades like tax cuts and deregulation,...",Duplicate record (keeping first occurrence),0.9
1659,100.0,number,2024,comparison_metrics,nan,Duplicate record (keeping first occurrence),0.9
